Notti;Periodo;"Room Night";"Room Night Totali";Pickup;"Lead Time Medio";Occupazione(%);"Occupazione Persone Media";"Non Classificato";Ristorante;"Spa
";Pernotto;Altro;Sconti;"City Tax";RevPar;ADR;"Ricavo medio prenotazione";Totale;"Totale senza imposta"
1,00;"Me 01 Gen 2025";25,00;25,00;20,00;"0 mesi 26 giorni 0 ore";100,00;2,12;-78,46;510,00;590,00;3.055,79;39,00;0,00;127,50;122,23;122,23;169,75;4.243,83;4.116,33
1,00;"Gi 02 Gen 2025";25,00;25,00;27,00;"0 mesi 26 giorni 0 ore";100,00;2,24;-0,70;446,50;940,00;2.934,81;8,00;0,00;132,50;117,39;117,39;178,44;4.461,11;4.328,61
1,00;"Ve 03 Gen 2025";25,00;25,00;26,00;"1 mesi 8 giorni 0 ore";100,00;2,52;-1,00;546,50;590,00;3.575,90;32,00;0,00;137,50;143,04;143,04;195,24;4.880,90;4.743,40
1,00;"Sa 04 Gen 2025";25,00;25,00;33,00;"1 mesi 17 giorni 0 ore";100,00;2,60;-0,04;507,50;500,00;4.240,30;2,00;0,00;140,00;169,61;169,61;215,59;5.389,76;5.249,76
1,00;"Do 05 Gen 2025";25,00;25,00;32,00;"0 mesi 27 giorni 0 ore";100,00;2,28;-0,05;522,00;630,00;2.302,51;0,00;0,00;132,50;92,10;92,10;143,48;3.586,96;3.454,46
1,00;"Lu 06 Gen 2025";22,00;25,00;32,00;"1 mesi 4 giorni 0 ore";88,00;2,00;-0,08;457,50;540,00;1.452,45;8,00;0,00;102,50;58,10;66,02;116,38;2.560,37;2.457,87
1,00;"Ma 07 Gen 2025";25,00;25,00;24,00;"1 mesi 9 giorni 0 ore";100,00;2,00;0,00;436,50;110,00;1.752,05;4,00;0,00;115,00;70,08;70,08;96,70;2.417,55;2.302,55
1,00;"Me 08 Gen 2025";25,00;25,00;40,00;"1 mesi 24 giorni 0 ore";100,00;1,80;0,00;529,50;150,00;1.632,16;0,00;0,00;110,00;65,29;65,29;96,87;2.421,66;2.311,66
1,00;"Gi 09 Gen 2025";18,00;25,00;33,00;"2 mesi 0 giorni 0 ore";72,00;1,78;-0,20;500,50;0,00;1.102,57;0,00;0,00;77,50;44,10;61,25;93,35;1.680,37;1.602,87
1,00;"Ve 10 Gen 2025";23,00;25,00;36,00;"1 mesi 11 giorni 0 ore";92,00;1,87;0,00;553,50;550,00;1.715,13;0,00;0,00;105,00;68,61;74,57;127,11;2.923,63;2.818,63
