display_name,types,type,country_code,state,city,county,street,postal_code,address,latitude,longitude,phone,phone_type,email_1,email_1_title,email_1_first_name,email_1_last_name,email_2,email_2_title,email_2_first_name,email_2_last_name,email_3,email_3_title,email_3_first_name,email_3_last_name,linkedin,facebook,twitter,instagram,tiktok,whatsapp,youtube,site,site_ga_code,site_has_google_tag,site_has_fb_pixel,photo,photos_count,rating,rating_history,reviews,range,business_status,business_status_history,booking_appointment_link,menu_link,verified,owner_title,located_in,os_id,google_id,place_id,cid,gmb_link,located_os_id,working_hours,area_service,about,corp_name,corp_employees,corp_revenue,corp_founded_year,corp_is_public,added_at,updated_at,,,,,,,,,,,
Hotel Centro Cavour Roma,Hotel,Hotel,IT,metropolitan city of rome capital,Rome,,"Via Cavour, 237",184,"Via Cavour, 237, 00184 Roma RM",4.189.436.389.999.990,81943.57.00,390669319148,Fixed Line,info@hotelcentrocavour.it,,,,info@camereromacentro.it,,,,,,,,,,,,,,,http://www.hotelcentrocavour.it/,,,,https://lh5.googleusercontent.com/p/AF1QipMdPzejLUkSgNJNlO10c4ipBu755PosO2_PKsUT=w800-h500-k-no,612.0,4.5,"4.5 (May-2023), 4.5 (Jul-2023), 4.5 (Jan-2024), 4.5 (Apr-2024), 4.5 (Oct-2024)",575.0,3 stars,Operational,"Operational (May-2023), Operational (Jul-2023), Operational (Jan-2024), Operational (Apr-2024), Operational (Oct-2024)",,,TRUE,Hotel Centro Cavour Roma,,decd78ae4451b054f2d1e1092972eb95,0x132f61b10fc93bf5:0x8860c19523dab915,ChIJ9TvJD7FhLxMRFbnaI5XBYIg,9827067233218246933,https://google.com/maps/place/?q=place_id:ChIJ9TvJD7FhLxMRFbnaI5XBYIg,,,FALSE,"{'Other': {'Free Wi-Fi': True, 'Air-conditioned': True, 'Breakfast': True, 'Wi-Fi': True, 'Star rating': '3 stars', 'Check-out time': '11:00', 'Check-in time': '15:00'}, 'Amenities': {'Free Wi-Fi': True}}",,10,1000000,,FALSE,2021-03-05T17:14:41.360000,2024-10-09T14:31:40.890000,,,,,,,,,,,
J.K. Place Roma,Hotel,Hotel,IT,metropolitan city of rome capital,Rome,,"Via Di Monte D'Oro, 30",186,"Via di Monte d'Oro, 30, 00186 Roma RM",150781.44.00,79502.44.00,3906982634,Mobile,anania@jkroma.com,Front Desk Agent - Concierge,Benedetta,Anania,baranchuk@jkroma.com,Front Desk Agent,Olena,Baranchuk,filizzola@jkroma.com,Concierge And Front Office Agent,Gianmarco,Filizzola,,,,,,,,http://www.jkroma.com/,,,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEhDOVmih0jrYSxoScARkw-AZhsTCq5891G-cQ1INft2qz_CzL60v-XMW9SzL9zq-2zrdvC7mxyqNl4RPPXn7qMkUL5wAv8fV7e5erX9XbfUsqE82IuXkOB4SmMnYIM9RAdZD6RXsjchkCL9cc4RVnVQu5ogHxVFRS-vpYfm0aqJcXj_GTu9iM=w800-h500-k-no,616.0,4.8,"4.7 (May-2023), 4.8 (Jun-2023), 4.8 (Oct-2023), 4.8 (Jan-2024), 4.8 (Oct-2024)",365.0,5 stars,Operational,"Operational (May-2023), Operational (Jun-2023), Operational (Oct-2023), Operational (Jan-2024), Operational (Oct-2024)",,,TRUE,J.K. Place Roma,,2c5cdd1000de04e7d3a4ff947c9667c2,0x132f6056b7724dd1:0xc929d3d9adae58e1,ChIJ0U1yt1ZgLxMR4ViurdnTKck,14495349807543900385,https://google.com/maps/place/?q=place_id:ChIJ0U1yt1ZgLxMR4ViurdnTKck,,,FALSE,"{'Other': {'Free breakfast': True, 'Free Wi-Fi': True, 'Air-conditioned': True, 'Breakfast': True, 'Star rating': '5 stars', 'Check-out time': '12:00', 'Check-in time': '16:00'}, 'Amenities': {'Free Wi-Fi': True, 'Free breakfast': True}}",,25,,,FALSE,2021-03-07T03:29:51.233000,2024-10-19T01:11:14.846000,,,,,,,,,,,
Relais San Vigilio,"Hotel, Bar, Coffee Shop, Espresso Bar, Observation Deck, Restaurant, Scenic Spot, Small Plates Restaurant",Hotel,IT,province of bergamo,Bergamo,,"Via Al Castello, 7",24129,"Via al Castello, 7, 24129 Bergamo BG",118217.02.00,108548.19.00,390352650987,Fixed Line,info@relaissanvigilio.it,,,,info@ristorantesanvigilio.it,,,,,,,,,,,,,,,http://www.relaissanvigilio.it/,,,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhE6Fr82S31FCNJ-ZaKJwvpT1_I0JZ3ngz82id94WlqlRMH2YSqfG9erB5kCcREAh0MoWGKSUL6Srr1t2ufFvGf3P8HUIBhAfhLvxxPopqAdpY-GohMe84FXDtkZ_ThRZ4tJzNIS1XwJyRE5EYy3xB7uCpm5H7ykIGD0EWUmpRPcgCDmh2i_HKFxVg=w800-h500-k-no,1005,4.8,"4.8 (Nov-2022), 4.8 (Jan-2023), 4.8 (May-2023), 4.8 (Nov-2023), 4.8 (Jan-2024)",329.0,4 stars,Operational,"Operational (Nov-2022), Operational (Jan-2023), Operational (May-2023), Operational (Nov-2023), Operational (Jan-2024)",https://thefork.it/ristorante/la-cucina-relais-san-vigilio-r564207?cc=18174-54f,,TRUE,Relais San Vigilio,,1d31263e40dd004a3d0daaf7bd07074c,0x4781515cb8c2d057:0x40b95de85433a136,ChIJV9DCuFxRgUcRNqEzVOhduUA,4663862141545324854,https://google.com/maps/place/?q=place_id:ChIJV9DCuFxRgUcRNqEzVOhduUA,,,FALSE,"{'Other': {'Free Wi-Fi': True, 'Air-conditioned': True, 'Breakfast': True, 'Wi-Fi': True, 'Star rating': '4 stars', 'Check-out time': '11:00', 'Check-in time': '15:00'}, 'Amenities': {'Free Wi-Fi': True}}",,,,,FALSE,2020-11-29T06:45:51.784000,2024-10-23T12:49:14.899000,,,,,,,,,,,
Tenuta di Murlo,"Farmstay, Resort Hotel",Farmstay,IT,province of perugia,Perugia,,"E, Str Antognolla-Ascagnano",6133,"e, Str. Antognolla-Ascagnano, 06133 Perugia PG",37519.21.00,6518.13.00,390759978852,Fixed Line,garante@gpdp.it,,,,info@murlo.com,,,,info@reschio.com,,,,,,,,,,,http://www.murlo.com/,,,,https://lh5.googleusercontent.com/p/AF1QipO9awukQ_5SClzFnyyEqehPa1v0KlsmniyOI5UQ=w800-h500-k-no,149,4.6,"4.7 (Jan-2023), 4.7 (Jul-2023), 4.6 (Aug-2023), 4.6 (Dec-2023), 4.6 (Jun-2024)",78.0,,Operational,"Operational (Jan-2023), Operational (Jul-2023), Operational (Aug-2023), Operational (Dec-2023), Operational (Jun-2024)",,,TRUE,Tenuta Di Murlo,,958fe6ed19e0b8cbe4bc564e10f339df,0x132c1bda32c8d655:0x77c77893b3ef1b56,ChIJVdbIMtobLBMRVhvvs5N4x3c,8630999786653162326,https://google.com/maps/place/?q=place_id:ChIJVdbIMtobLBMRVhvvs5N4x3c,,,FALSE,"{'Other': {'Pool': True, 'Free Wi-Fi': True, 'Air-conditioned': True, 'Breakfast': True, 'Star rating': None, 'Check-in time': '15:00'}, 'Amenities': {'Free Wi-Fi': True}}",,10,1000000,,FALSE,2021-12-31T15:37:45.029000,2024-07-07T17:08:52.651000,,,,,,,,,,,
Palazzo Verdi B&B,Hotel,Hotel,IT,province of viterbo,Viterbo,,"Piazza Giuseppe Verdi, 5A",1100,"P.za Giuseppe Verdi, 5, 01100 Viterbo VT",7063.49.00,18056.12.00,393391076022,Mobile,aspassonellatuscia@gmail.com,,,,info@holidayviterbo.com,,,,,,,,,,,,,,,http://www.holidayviterbo.com/,,,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEz4fhZCzNuMaBoxfdrNc02U06llVlSJ__BcLGzyaskL6CRS6iqKIzoxAoEts030JQHyJN5umLcpG0bYzuOMuavBeIbk4D2HOBrg811jLSphroYbQ0EATP1UJXgfHocFOR2lzzXfXm65gwLadGrNFjIRtVgq9EirXIlzXQIMxs6Bp14i4XQD8Bing=w800-h500-k-no,136.0,4.8,"4.8 (Dec-2023), 4.8 (Jan-2024), 4.9 (May-2024), 4.8 (Sep-2024), 4.8 (Oct-2024)",180.0,,Operational,"Operational (Dec-2023), Operational (Jan-2024), Operational (May-2024), Operational (Sep-2024), Operational (Oct-2024)",,,TRUE,Palazzo Verdi B&B,,876305a13767888ecded9728d2f3f07a,0x132f2cfb700ff3db:0x9736d1c3a3d30509,ChIJ2_MPcPssLxMRCQXTo8PRNpc,10896126986666837257,https://google.com/maps/place/?q=place_id:ChIJ2_MPcPssLxMRCQXTo8PRNpc,,,FALSE,"{'Other': {'Free Wi-Fi': True, 'Air-conditioned': True, 'Wi-Fi': True, 'Parking': True, 'Star rating': None, 'Check-out time': '10:00', 'Check-in time': '14:00'}, 'Amenities': {'Free Wi-Fi': True}}",,,,,FALSE,2021-03-05T16:46:43.394000,2024-10-19T01:19:29.640000,,,,,,,,,,,
Palazzo Riario,"Hotel, Lodging, Thermal Baths, Travel",Hotel,IT,province of viterbo,Viterbo,,"Via Della Torre, 17",1100,"Via della Torre, 17, 01100 Viterbo VT",69579.28.00,12.108.228.599.999.900,390761340346,Fixed Line,info@palazzoriario.it,,,,palazzoriario@gmail.com,,,,,,,,,,,,,,,http://www.palazzoriario.it/,,,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEBk3CvXD-3bFZhsXdNLTc0IShiX7uHjHjgAmmlHkUZNahC7F139grGEh_jE26VzXe7jjw6S7KfNi6xD8dLqJC9uEXAGOy3-vzhcaCiVVPqKKONzPwY1htXqQYUgX6AWNu52lXteN3cTgY80b2p8JPyTtHyIgSsf-49DEOU6CNQyXGpiEMeBh50=w800-h500-k-no,115.0,4.5,"4.5 (Jul-2023), 4.5 (Oct-2023), 4.5 (Dec-2023), 4.5 (May-2024), 4.5 (Oct-2024)",172.0,3 stars,Operational,"Operational (Jul-2023), Operational (Oct-2023), Operational (Dec-2023), Operational (May-2024), Operational (Oct-2024)",,,TRUE,Palazzo Riario,,38fa75206c550b85e68e70fb77d26c87,0x132f2cfd0e078375:0xd217d67b803cd26f,ChIJdYMHDv0sLxMRb9I8gHvWF9I,15138804498350002799,https://google.com/maps/place/?q=place_id:ChIJdYMHDv0sLxMRb9I8gHvWF9I,,,FALSE,"{'Other': {'Free breakfast': True, 'Free Wi-Fi': True, 'Air-conditioned': True, 'Breakfast': True, 'Star rating': '3 stars', 'Check-out time': '11:00', 'Check-in time': '15:30'}, 'Amenities': {'Free Wi-Fi': True, 'Free breakfast': True}}",,10,1000000,,FALSE,2022-01-30T08:43:59.472000,2024-10-19T01:19:29.640000,,,,,,,,,,,
B&B dei Papi Boutique Hotel,"Bed & Breakfast, Art Museum, Boutique, Resort Hotel",Bed & Breakfast,IT,province of viterbo,Viterbo,,"Via Del Ginnasio, 8",1100,"Via del Ginnasio, 8, 01100 Viterbo VT",111.07.00,183.17.00,393478685489,Mobile,info@bbdeipapi.it,,,,mariorossi@esempio.it,,,,,,,,,,,,,,,http://www.bbdeipapi.it/,,,,https://lh5.googleusercontent.com/p/AF1QipO34aOo6V0HsOhMfW2yifoL9OUxGnB8PQvRcWke=w800-h500-k-no,575.0,5.0,"5.0 (May-2023), 5.0 (Jul-2023), 5.0 (Oct-2023), 5.0 (Jan-2024), 5.0 (Apr-2024)",93.0,1 stars,Operational,"Operational (May-2023), Operational (Jul-2023), Operational (Oct-2023), Operational (Jan-2024), Operational (Apr-2024)",,,TRUE,B&B Dei Papi Boutique Hotel,,77ea265259776011734899facc66fa1f,0x132f2d1da4f43401:0x56b90c0243b9ac51,ChIJATT0pB0tLxMRUay5QwIMuVY,6249039161818983505,https://google.com/maps/place/?q=place_id:ChIJATT0pB0tLxMRUay5QwIMuVY,,,FALSE,"{'Other': {'Spa': True, 'Free Wi-Fi': True, 'Breakfast': True, 'Wi-Fi': True, 'Star rating': '1 stars', 'Check-out time': '11:00', 'Check-in time': '14:00'}, 'Amenities': {'Free Wi-Fi': True}}",,,,,FALSE,2021-03-05T16:46:43.394000,2024-10-19T01:19:29.640000,,,,,,,,,,,
B&B Evergreen Roma Guest House,"Bed & Breakfast, Hotel",Bed & Breakfast,IT,metropolitan city of rome capital,Rome,,"Via Milazzo, 23",185,"Via Milazzo, 23, 00185 Roma RM",150451.03.00,12.505.192.599.999.900,393459436445,Mobile,info@evergreenroma.it,,,,,,,,,,,,,,,,,,,https://www.evergreenroma.it/,,,,https://lh5.googleusercontent.com/p/AF1QipNn--q6YfGq9X2dDcd4YUM17E8EH-1PXugNZmWc=w800-h500-k-no,91.0,4.2,"4.2 (Jul-2023), 4.2 (Oct-2023), 4.2 (Jan-2024), 4.2 (May-2024), 4.2 (Oct-2024)",219.0,1 stelle,Operational,"Operational (Jul-2023), Operational (Oct-2023), Operational (Jan-2024), Operational (May-2024), Operational (Oct-2024)",,,TRUE,B&B Evergreen Roma Guest House,,2f12d93d89ba8b295ac83b8bfd915642,0x132f61a1d0610ca7:0xe277bb1d6700a8ff,ChIJpwxh0KFhLxMR_6gAZx27d-I,16318717509756823807,https://google.com/maps/place/?q=place_id:ChIJpwxh0KFhLxMR_6gAZx27d-I,,,FALSE,"{'Other': {'Free Wi-Fi': True, 'Air-conditioned': True, 'Breakfast': True, 'Wi-Fi': True, 'Star rating': '1 stars', 'Check-in time': '11:00'}, 'Amenities': {'Free Wi-Fi': True}}",,,,,FALSE,2022-02-24T10:23:04.642000,2024-10-17T21:00:46.194000,,,,,,,,,,,
Grand Hotel Plaza,Hotel,Hotel,IT,metropolitan city of rome capital,Rome,,"Via Del Corso, 126",186,"Via del Corso, 126, 00186 Roma RM",15127.24.00,7991.48.00,390669921111,Fixed Line,amjed@grandhotelplaza.com,Manager (Sales),Ali,Amjed,baldassarri@grandhotelplaza.com,Cuoco Capo Partita,Adriano,Baldassarri,cardone@grandhotelplaza.com,Receptionist Front-Office,Monica,Cardone,,,,,,,,https://www.grandhotelplaza.com/en/?utm_source=google,,,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFmU1SLa3MS6i0fsJ3-bqYUpd1Z8C7sTYnpDe_0a1xeus9qaVHqKLqPgVkhs3W_a9EPdZgUjxish0bfsrLfz5k9Oxgc7DWbPEw_4_t5PzmOej66L_FpYCkmJ9frEzg1Lc2KMsyZrtwGEuMrjo9JtpUsASs9ostndt8Iq5IOgIvV69ZvJhOhSVS9i7EfpxgHFgCl5ko=w800-h500-k-no,2890.0,4.0,"4.0 (Mar-2023), 4.0 (May-2023), 4.0 (Jul-2023), 4.0 (Dec-2023), 4.0 (May-2024)",989.0,5 stars,Operational,"Operational (Mar-2023), Operational (May-2023), Operational (Jul-2023), Operational (Dec-2023), Operational (May-2024)",,,TRUE,Grand Hotel Plaza,,40496277cd3203c88791363f4e4d859e,0x132f60561c70c919:0x339347325a4fffea,ChIJGclwHFZgLxMR6v9PWjJHkzM,3716392399099920362,https://google.com/maps/place/?q=place_id:ChIJGclwHFZgLxMR6v9PWjJHkzM,,,FALSE,"{'Crowd': {'LGBTQ+ friendly': True}, 'Other': {'Free breakfast': True, 'Free Wi-Fi': True, 'Air-conditioned': True, 'Breakfast': True, 'Star rating': '5 stars', 'Check-out time': '12:00', 'Check-in time': '15:00', 'LGBTQ+ friendly': True}, 'Amenities': {'Free Wi-Fi': True, 'Free breakfast': True}}",,250,50000000,,FALSE,2020-12-28T20:39:45.764000,2024-10-19T01:20:23.358000,,,,,,,,,,,
Hotel Concordia,Hotel,Hotel,IT,metropolitan city of rome capital,Rome,,"Via Di Capo Le Case, 14",187,"Via di Capo le Case, 14, 00187 Roma RM",150671.43.00,80821.02.00,39066791953,Fixed Line,info@concordiahotel.it,,,,ireland@bookassist.com,,,,,,,,,,,,,,,http://www.concordiahotel.it/,,,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGNpa2-rM4cdjVTNpjwEM1jGPazN34YsktHAiCt4yLeQV3KJhaEypjNVkkNqsANDymPn9aEh65695S-AyIS_Rdh0Yy5tUiTkRpFxgtUd03pO5DuTmF7n9jLxXmUrpILc6gmcCWjyewZL1JWbCQCAQ4vZya-uKDeiFu4zPTQpXK_v_NQjnq5ox9nBQ=w800-h500-k-no,371.0,4.1,"4.0 (Oct-2023), 4.0 (Dec-2023), 4.0 (Jan-2024), 4.1 (May-2024), 4.1 (Oct-2024)",403.0,3 stars,Operational,"Operational (Oct-2023), Operational (Dec-2023), Operational (Jan-2024), Operational (May-2024), Operational (Oct-2024)",,,TRUE,Hotel Concordia,,8a8fe6501ce3d961839da740060f9f29,0x132f61ab46df0a69:0xceafba1e6ed76f05,ChIJaQrfRqthLxMRBW_Xbh66r84,14893327132608917253,https://google.com/maps/place/?q=place_id:ChIJaQrfRqthLxMRBW_Xbh66r84,,,FALSE,"{'Other': {'Free Wi-Fi': True, 'Air-conditioned': True, 'Breakfast': True, 'Wi-Fi': True, 'Star rating': '3 stars', 'Check-out time': '11:00', 'Check-in time': '14:00'}, 'Amenities': {'Free Wi-Fi': True}}",,,,,,2020-12-28T20:39:45.764000,2024-10-19T01:28:28.300000,,,,,,,,,,,
