name,name_for_emails,site,subtypes,category,type,email_1,phone
Albergo Ristorante Olimpia,Albergo Ristorante Olimpia,http://www.albergoristoranteolimpia.it/,"Hotel, Restaurant",hotels,Hotel,info@albergoristoranteolimpia.it,+39 0577 778250
Albergo Ristorante Sella,Albergo Ristorante Sella,http://www.albergosella.it/,"Hotel, Restaurant",hotels,Hotel,info@albergosella.it,+39 0577 789747
Hotel Fabbrini,Hotel Fabbrini,http://www.hotelfabbrini.com/,Hotel,hotels,Hotel,info@hotelfabbrini.com,+39 0577 779911
Albergo Generale Cantore - Monte Amiata -,Albergo Generale Cantore Monte Amiata,http://www.albergogeneralecantore.it/,"Tuscan restaurant, Bar, Hotel, Italian restaurant",Tuscan restaurant,Tuscan restaurant,info@ilcantore.it,+39 0577 789789
B&B Le Scalette,B And B Le Scalette,http://www.bnblescalettesanmarco.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,sanmarcoscalette@gmail.com,+39 371 359 3707
Piccolo Hotel Aurora,Piccolo Hotel Aurora,http://www.piccolohotelaurora.com/,"Hotel, Electric vehicle charging station, Massage spa, Thermal baths, Tourist attraction",hotels,Hotel,info@piccolohotelaurora.com,+39 0577 778173
La Bocca Di Bacco Ristorante,La Bocca Di Bacco Ristorante,http://www.laboccadibacco.com/,Hotel,hotels,Hotel,info@laboccadibacco.com,+39 0577 777624
B&B Il Biancospino,B And B Il Biancospino,http://www.bbilbiancospino.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@bbilbiancospino.com,+39 334 344 5885
Hotel Adriana Snc,Hotel Adriana Snc,http://www.hoteladrianaamiata.com/,"Hotel, Bar",hotels,Hotel,hoteladriana@alice.it,+39 0577 778116
Albergo Hotel Relais San Lorenzo,Albergo Hotel Relais San Lorenzo,https://www.relaissanlorenzo.it/,Hotel,hotels,Hotel,info@relaissanlorenzo.it,+39 0577 785003
Hotel Ristorante Giardino,Hotel Ristorante Giardino,http://www.hotelgiardinoamiata.com/,Hotel,hotels,Hotel,info@hotelgiardinoamiata.com,+39 0577 778106
Hotel Parco Erosa,Hotel Parco Erosa,http://www.parcoerosa.it/,Hotel,hotels,Hotel,parcoerosa@parcoerosa.it,+39 0577 776326
B&B Gli Archi,B And B Gli Archi,http://www.bbgliarchi.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@bbgliarchi.it,+39 371 448 0935
Hotel La Bussola,Hotel La Bussola,https://albergobussola.weebly.com/,Hotel,hotels,Hotel,info@albergobussola.com,+39 0577 778037
Albergo Ristorante Alpino,Albergo Ristorante Alpino,http://www.albergoalpino.biz/,Hotel,hotels,Hotel,info@albergoalpino.biz,+39 0573 673062
B&B Chalet,B And B Chalet,https://www.facebook.com/bbchaletabetone/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,bbchaletabetone@gmail.com,+39 339 131 3757
Albergo Regina,Albergo Regina,http://www.albergoregina.com/,Hotel,hotels,Hotel,info@albergoregina.com,+39 0573 60007
Hotel I Pionieri,Hotel I Pionieri,http://www.hotelipionieri.com/,"Hotel, Restaurant",hotels,Hotel,info@hotelipionieri.com,+39 0573 609044
Albergo Sport,Albergo Sport,http://www.albergosport.com/,Hotel,hotels,Hotel,albergosport@abetone.com,+39 0573 60034
Albergo Ristorante La Villa Abetone Cutigliano,Albergo Ristorante La Villa Abetone Cutigliano,http://www.albergolavilla.it/,"Hotel, Bar, Restaurant, Supermarket, Tobacco shop",hotels,Hotel,webmaster@piramedia.it,+39 0573 673061
Hotel Primula,Hotel Primula,http://www.hotelprimula.com/,Hotel,hotels,Hotel,albergoprimula@abetone.com,+39 0573 60108
Snowdrop Camping - B & B,Snowdrop Camping B And B,http://www.campingbucaneve.com/,"Bed & breakfast, Campground",Bed & Breakfast,Bed & breakfast,info@campingbucaneve.com,+39 333 834 1034
Lo Slittone,Lo Slittone,http://www.loslittone.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@loslittone.it,+39 377 087 9714
Albergo Tirolo,Albergo Tirolo,http://www.albergotirolo.it/,Hotel,hotels,Hotel,info@albergotirolo.it,+39 0573 60334
HG Abetone & Piramidi Resort,Hg Abetone And Piramidi Resort,https://www.abetonepiramidi.it/,"Hotel, Ski resort",hotels,Hotel,info@abetonepiramidi.it,+39 0573 60005
Hotel Restaurant Bar Sichi,Hotel Restaurant Bar Sichi,http://www.albergosichi.com/,"Hotel, Restaurant",hotels,Hotel,info@albergosichi.com,+39 0573 673015
Borgo Don Camillo,Borgo Don Camillo,http://www.borgodoncamillo.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,lisa.tonarelli77@gmail.com,+39 347 674 1676
Albergo Toscana,Albergo Toscana,http://www.albergotoscana.net/,"Restaurant, Hotel",restaurants,Restaurant,info@albergotoscana.net,+39 0763 711220
B&B Quasi Toscana,B And B Quasi Toscana,http://www.quasitoscana.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@quasitoscana.com,+39 348 282 2973
Il Teatro alloggio turistico,Il Teatro Alloggio Turistico,https://www.ilteatrobb.it/,"Bed & breakfast, Holiday home",Bed & Breakfast,Bed & breakfast,info@ilteatrobb.it,+39 351 992 8286
Il Piccolo Residence,Il Piccolo Residence,https://langoloilpiccoloresidence.it/,Hotel,hotels,Hotel,paolo@langoloilpiccoloresidence.it,+39 0578 767791
B&B La Casa di Assunta,B And B La Casa Di Assunta,http://www.bbcasadiassunta.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@bbcasadiassunta.it,+39 347 360 9744
Terra Antica,Terra Antica,http://terra-antica.com/,"Vineyard, Hotel",Vigneto,Vineyard,info@terra-antica.com,+39 320 411 1116
Bed & Breakfast Profumo D'Estate,Bed And Breakfast Profumo Destate,http://www.profumodestate.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@profumodestate.it,+39 338 100 4791
Bar Denis di Scalzi Alberto e c. Snc,Bar Denis Di Scalzi Alberto E C Snc,http://www.bardenisaffittacamere.it/,"Bed & breakfast, Bar, Cafe, Hotel",Bed & Breakfast,Bed & breakfast,info@bardenisaffittacamere.it,+39 0574 673262
Appartamento Agliana,Appartamento Agliana,http://www.appartamentiforteguerriana.it/,"Bed & breakfast, Holiday apartment",Bed & Breakfast,Bed & breakfast,appartamentiforteguerriana@gmail.com,+39 338 501 8161
Borgo Casale,Borgo Casale,http://www.borgocasale.it/,"Bed & breakfast, Health spa, Italian restaurant, Small plates restaurant",Bed & Breakfast,Bed & breakfast,info@borgocasale.it,+39 346 965 5397
Agriturismo Merano nel Parco della Maremma,Agriturismo Merano Nel Parco Della Maremma,http://www.agriturismo-merano.com/,"Farmstay, Hotel",Agriturismo,Farmstay,nfo@agriturismo-merano.com,+39 339 789 3372
Agriturismo Ristorante Il Melograno di Banditella,Agriturismo Ristorante Il Melograno Di Banditella,http://www.agriturismoilmelograno.eu/,"Restaurant, Bed & breakfast, Farmstay, Horse breeder, Hotel, Meat dish restaurant, Organic farm, Tuscan restaurant, Vegan restaurant, Vegetarian restaurant",restaurants,Restaurant,info@agriturismoilmelograno.eu,+39 338 406 5702
Agriturismo Stella Blu .,Agriturismo Stella Blu,http://www.stellablu.net/,"Bed & breakfast, Farmstay, Restaurant",Bed & Breakfast,Bed & breakfast,info@stellablu.net,+39 339 603 8780
Podere Gradisca,Podere Gradisca,http://www.poderegradisca.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@poderegradisca.it,+39 347 939 2365
Farmhouse Al Vermigliano,Farmhouse Al Vermigliano,https://www.agriturismoalvermigliano.it/,"Farmstay, Bed & breakfast",Agriturismo,Farmstay,info@agriturismoalvermigliano.it,+39 340 496 4851
Country Resort Le Due Ruote - Agriturismo,Country Resort Le Due Ruote Agriturismo,http://www.agriturismoledueruote.it/,"Farmstay, Resort hotel, Restaurant",attractions,Farmstay,info@agriturismoledueruote.it,+39 0564 405361
Agriturismo biologico la Pulledraia,Agriturismo Biologico La Pulledraia,http://www.pulledraia.it/,"Farmstay, Bed & breakfast, Extended stay hotel, Hotel, Restaurant",Agriturismo,Farmstay,prenotazioni@pulledraia.it,+39 0564 188 6110
AGRITURISMO PODERE ISONZO,Agriturismo Podere Isonzo,http://www.podereisonzo.it/,"Farmstay, Apartment complex, Bed & breakfast, Extended stay hotel, Hotel, Holiday apartment",Agriturismo,Farmstay,isonzo@ouverture.it,+39 338 456 2086
Casa Fioravanti,Casa Fioravanti,https://www.casafioravanti.info/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,contact@casafioravanti.info,+39 392 656 6522
B&B Giuliana,B And B Giuliana,http://www.bedandbreakfastgiuliana.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@bedandbreakfastgiuliana.it,+39 0564 870246
AgriResort Podere Maremma,Agriresort Podere Maremma,http://www.poderemaremma.it/,"Farmstay, Bed & breakfast, Massage spa, Restaurant, Spa, Swimming basin",Agriturismo,Farmstay,info@poderemaremma.it,+39 0564 188 6996
PINETA RESIDENCE,Pineta Residence,http://www.pinetaresidence.it/,Extended stay hotel,hotels,Extended stay hotel,info@pinetaresidence.it,+39 0564 871366
Hotel Corallo,Hotel Corallo,https://www.hotelcorallo.it/,Hotel,hotels,Hotel,info@hotelcorallo.it,+39 0564 870065
Dory Hotel Albinia,Dory Hotel Albinia,http://www.doryhotel.it/,Hotel,hotels,Hotel,info@doryhotel.it,+39 0564 870029
Hotel Le Palme,Hotel Le Palme,http://www.albergolepalme.it/,Hotel,hotels,Hotel,info@albergolepalme.it,+39 0564 870590
La Rosa dei Venti,La Rosa Dei Venti,https://www.larosadeiventiargentario.it/,"Restaurant, Hotel, Seafood restaurant",restaurants,Restaurant,info@larosadeiventiargentario.it,+39 0564 870143
Country House La Collina di Bargiano - Casa Raffaella,Country House La Collina Di Bargiano Casa Raffaella,http://www.lacollinadibargiano.com/,"Country house, Bed & breakfast, Holiday home",Casa di campagna,Country house,info@lacollinadibargiano.com,+39 347 512 5931
lassù minihotel,Lassù Minihotel,http://www.lassu.org/,Hotel,hotels,Hotel,info@lassu.org,+39 344 520 0268
